Category: All categories

Month,Go: (Worldwide),Python: (Worldwide),C++: (Worldwide),Rust: (Worldwide),javascript: (Worldwide)
2011-04,17,16,27,5,30
2011-05,18,16,26,5,31
2011-06,18,16,25,5,32
2011-07,19,16,23,6,30
2011-08,20,15,24,5,32
2011-09,21,16,27,5,31
2011-10,22,16,28,5,30
2011-11,23,16,29,4,32
2011-12,24,15,24,4,28
2012-01,23,15,24,4,29
2012-02,24,16,26,4,30
2012-03,26,17,26,4,29
2012-04,24,16,25,5,29
2012-05,26,16,23,5,31
2012-06,26,15,22,5,29
2012-07,23,16,20,5,31
2012-08,23,16,20,5,28
2012-09,23,17,23,5,28
2012-10,25,17,25,5,28
2012-11,24,18,24,5,26
2012-12,26,16,21,4,24
2013-01,24,18,21,5,27
2013-02,25,18,22,4,28
2013-03,23,18,22,5,28
2013-04,23,19,23,6,27
2013-05,24,18,22,6,27
2013-06,24,18,20,6,27
2013-07,24,18,19,6,27
2013-08,24,18,18,6,26
2013-09,24,19,22,6,26
2013-10,28,20,24,5,28
2013-11,28,21,24,5,27
2013-12,28,19,21,7,25
2014-01,27,19,20,16,27
2014-02,29,20,23,16,28
2014-03,30,20,22,12,27
2014-04,30,21,21,10,29
2014-05,31,20,20,9,27
2014-06,29,19,19,9,26
2014-07,28,20,18,9,27
2014-08,27,19,17,9,24
2014-09,23,21,21,7,26
2014-10,22,23,23,8,27
2014-11,23,21,22,7,26
2014-12,24,19,20,7,24
2015-01,24,20,19,8,24
2015-02,23,23,21,7,27
2015-03,23,23,21,7,27
2015-04,24,24,21,8,27
2015-05,23,22,19,9,25
2015-06,22,23,18,10,27
2015-07,21,23,18,9,27
2015-08,23,22,16,9,25
2015-09,25,23,20,8,26
2015-10,23,26,22,8,26
2015-11,23,25,20,7,25
2015-12,22,23,18,8,24
2016-01,20,26,18,10,24
2016-02,21,29,21,10,28
2016-03,21,30,20,10,27
2016-04,21,27,20,10,26
2016-05,21,28,19,10,25
2016-06,20,29,18,10,26
2016-07,20,27,15,10,22
2016-08,19,27,16,10,24
2016-09,19,30,20,9,25
2016-10,18,33,21,8,25
2016-11,19,35,22,8,27
2016-12,14,31,19,8,24
2017-01,14,33,19,9,25
2017-02,13,37,21,9,29
2017-03,13,41,22,9,30
2017-04,13,37,20,9,27
2017-05,13,37,18,9,27
2017-06,13,38,16,9,26
2017-07,13,37,16,10,24
2017-08,13,39,16,9,27
2017-09,13,43,19,8,25
2017-10,13,44,22,8,27
2017-11,14,44,22,8,27
2017-12,13,38,18,8,23
2018-01,13,41,18,8,24
2018-02,14,46,19,8,26
2018-03,13,46,19,9,26
2018-04,13,45,18,8,24
2018-05,13,45,17,9,25
2018-06,12,44,15,9,24
2018-07,12,44,15,9,24
2018-08,12,41,14,8,24
2018-09,12,46,18,9,23
2018-10,12,50,21,8,24
2018-11,11,50,19,8,23
2018-12,11,42,15,8,20
2019-01,11,47,16,8,22
2019-02,13,51,17,8,23
2019-03,14,53,17,8,23
2019-04,11,51,17,9,22
2019-05,11,50,15,9,22
2019-06,12,52,15,9,22
2019-07,11,53,16,10,24
2019-08,10,52,14,10,22
2019-09,10,58,18,10,22
2019-10,10,59,18,9,24
2019-11,10,57,19,9,22
2019-12,9,50,15,9,19
2020-01,9,52,15,9,21
2020-02,9,60,17,9,22
2020-03,9,56,15,9,21
2020-04,9,57,15,10,22
2020-05,9,57,14,12,20
2020-06,9,57,14,12,22
2020-07,9,56,13,12,21
2020-08,9,54,13,12,20
2020-09,9,57,16,11,20
2020-10,8,48,15,10,16
2020-11,8,45,13,9,15
2020-12,7,43,12,10,14
2021-01,7,43,12,20,15
2021-02,7,46,13,14,16
2021-03,8,49,14,12,17
2021-04,8,49,13,12,15
2021-05,7,48,13,14,15
2021-06,8,47,12,14,16
2021-07,8,46,11,15,15
2021-08,8,43,11,13,15
2021-09,9,54,14,13,16
2021-10,9,56,15,15,17
2021-11,11,57,16,12,17
2021-12,11,53,15,12,17
2022-01,12,67,18,16,23
2022-02,12,75,22,14,25
2022-03,13,85,24,13,27
2022-04,14,80,21,14,27
2022-05,13,74,20,13,26
2022-06,12,72,18,15,27
2022-07,11,74,17,15,25
2022-08,11,74,18,15,26
2022-09,11,80,21,13,25
2022-10,9,69,19,13,22
